;; -*- coding: utf-8-mcs-er -*-
U-00022250	𢉐	⿸广⿱毛灬
U-00022251	𢉑	⿸广青
U-00022252	𢉒	⿸广尚
U-00022253	𢉓	⿸广⿱𦈢⺃
U-00022254	𢉔	⿸广⿰亻⿳龴一小
U-00022255	𢉕	⿸广兔
U-00022256	𢉖	⿸&CDP-8D56;厸
U-00022257	𢉗	⿸广亟
U-00022258	𢉘	⿸广炎
U-00022259	𢉙	⿸⿸广廿火
U-0002225A	𢉚	⿸广乳
U-0002225B	𢉛	⿸广怱
U-0002225C	𢉜	⿸广者
U-0002225D	𢉝	⿸广畏
U-0002225E	𢉞	⿸广扁
U-0002225F	𢉟	⿸广很
U-00022260	𢉠	⿸广禹
U-00022261	𢉡	⿸广俟
U-00022262	𢉢	⿸广胡
U-00022263	𢉣	⿸广保
U-00022264	𢉤	⿸广架
U-00022265	𢉥	⿸广曷
U-00022266	𢉦	⿸广軍
U-00022267	𢉧	⿸广苜
U-00022268	𢉨	⿸广剌
U-00022269	𢉩	⿸广音
U-0002226A	𢉪	⿸广柴
U-0002226B	𢉫	⿸广&CDP-8764;
U-0002226C	𢉬	⿸广垔
U-0002226D	𢉭	⿸广㒸
U-0002226E	𢉮	⿸广甚
U-0002226F	𢉯	⿸广⿱七貝
U-00022270	𢉰	⿸广⿱吅土
U-00022271	𢉱	⿸广⿱龷田
U-00022272	𢉲	⿸广⿱八言
U-00022273	𢉳	⿸广若
U-00022274	𢉴	⿸广是
U-00022275	𢉵	⿸广𡷈
U-00022276	𢉶	⿸府天
U-00022277	𢉷	⿸广酋
U-00022278	𢉸	⿸广恢
U-00022279	𢉹	⿸广⿱宀𣎼
U-0002227A	𢉺	⿸&CDP-8D56;且
U-0002227B	𢉻	⿸&CDP-8D56;加
U-0002227C	𢉼	⿸广?
U-0002227D	𢉽	⿸广枯
U-0002227E	𢉾	⿸广幽
U-0002227F	𢉿	⿸广馬
U-00022280	𢊀	⿸广虒
U-00022281	𢊁	⿸&CDP-8D56;&CDP-8C40;
U-00022282	𢊂	⿸广𭍠
U-00022283	𢊃	⿸广⿱夾土
U-00022284	𢊄	⿸广隻
U-00022285	𢊅	⿸广追
U-00022286	𢊆	⿸广秝
U-00022287	𢊇	⿸&CDP-8D56;衣
U-00022288	𢊈	⿸广𡨝
U-00022289	𢊉	⿸广⿱𡈼回
U-0002228A	𢊊	⿸广𡘤
U-0002228B	𢊋	⿸广⿳𠀎&GT-K00059;夊
U-0002228C	𢊌	⿸广脊
U-0002228D	𢊍	⿸广𭔰
U-0002228E	𢊎	⿸广⿱非𠆢
