;; -*- coding: utf-8-mcs-er -*-
U-0002F8EE	&C7-5823;	⿰木⿳&AJ1-14521;⿰米糸&MJ011120;
U-0002F8EF	次	⿰冫欠
U-0002F8F0	&U-0002F8F0;	⿰臾欠
U-0002F8F1	歔	⿰&AJ1-01679;欠
U-0002F8F2	㱎	⿰⿱⿱罒水魚欠
U-0002F8F3	歲	⿱止𫀄
U-0002F8F4	殟	⿰歹昷
U-0002F8F5	殺	⿰杀&MJ014908;
U-0002F8F6	殻	⿺&AJ1-17466;&MJ014908;
U-0002F8F7	&C6-4A4D;	⿰&C5-256C;&MJ014908;
U-0002F8F8	𡴋	⿱屮母
U-0002F8F9	𣫺	⿰每⿱&MJ031960;⺼
U-0002F8FA	汎	⿰氵𠁽
U-0002F8FB	𣲼	⿰氵⿻冖九
U-0002F8FC	沿	⿰氵⿱几口
U-0002F8FD	&C6-2C51;	⿰氵𠥽
U-0002F8FE	汧	⿰氵幵
U-0002F8FF	&U-0002F8FF;	⿰氵吳
U-0002F900	派	&MJ015325;
U-0002F901	海	⿰氵毎
U-0002F902	流	⿰氵⿳&AJ1-04110;厶𫶧
U-0002F903	浩	⿰氵吿
U-0002F904	浸	⿰氵⿳&AJ1-14521;冖又
U-0002F905	涅	⿰氵⿱日工
U-0002F906	𣴞	𣴞
U-0002F907	洴	⿰氵幷
U-0002F908	港	⿰氵⿱共己
U-0002F909	湮	⿰氵⿱覀土
U-0002F90A	㴳	⿰氵⿰土&MJ010310;
U-0002F90B	&o-IU+2F90B;	⿰氵&MJ021826;
U-0002F90C	滇	⿰氵&MJ018170;
U-0002F90D	𣻑	⿰氵⿰杀&MJ014908;
U-0002F90E	淹	⿰氵𡘹
U-0002F90F	潮	⿰氵&MJ013558;
U-0002F910	𣽞	⿰氵⿱日⿱⿺夂卜口
U-0002F911	𣾎	⿰氵⿳⿻丂叹一灬
U-0002F912	濆	⿰氵賁
U-0002F913	瀹	⿰氵⿳亼罒𠕁
U-0002F914	瀞	⿰氵&AJ1-02665;
U-0002F915	瀛	⿰氵𡣍
U-0002F916	㶖	⿰氵⿰&CDP-8B7A;⿱夂黑
U-0002F917	灊	⿰氵⿱⿰旡旡&AJ1-07300;
U-0002F918	&C6-2C60;	⿱𡿧火
U-0002F919	灷	⿱火廾
U-0002F91A	炭	⿱山⿸𠂇火
U-0002F91B	𠔥	⿳&GT-39641;&CDP-88BB;灬
U-0002F91C	煅	煅
U-0002F91D	𤉣	⿰火甾
U-0002F91E	熜	⿰火&AJ1-14542;
U-0002F91F	𤎫	⿳炎共人
U-0002F920	爨	⿳⿱⿴𦥑同冖林𤆍
U-0002F921	爵	&MJ016747;
U-0002F922	牐	⿰片&CDP-8A48;
U-0002F923	&U-0002F923;	⿱牙𦥑
U-0002F924	犀	⿸尸⿱水牛
U-0002F925	&C6-5E5E;	&C2-4B6E;
U-0002F926	&C6-3262;	⿰犭幵
U-0002F927	𤠔	⿰犭貟
U-0002F928	獺	⿰犭頼
U-0002F929	&M-49299;	王
U-0002F92A	㺬	⿰王&AJ1-03724;
U-0002F92B	玥	⿰王⺼
U-0002F92C	㺸	⿱⿰亻&AJ1-17330;王
U-0002F92D	㺸	⿱⿰亻&AJ1-17330;玉
U-0002F92E	瑇	⿰王⿱龶&AJ1-05368;
U-0002F92F	瑜	⿰王&AJ1-04216;
U-0002F930	瑱	⿰王&MJ018170;
U-0002F931	璅	⿰王巢
U-0002F932	瓊	⿰王⿳⿱𠂊囚目夂
U-0002F933	&C6-4221;	⿰幵瓦
U-0002F934	甤	⿰&MJ024906;生
U-0002F935	𤰶	&C5-2E6E;
U-0002F936	甾	⿱𡿧田
U-0002F937	𤲒	⿰田并
U-0002F938	異	⿱田⿳⺾一八
U-0002F939	&C4-3E6C;	⿰由幷
U-0002F93A	瘐	⿸疒㬰
U-0002F93B	𤾡	⿰白為
U-0002F93C	𤾸	𤾸
U-0002F93D	𥁄	⿱亏皿
U-0002F93E	㿼	⿱幵皿
U-0002F93F	䀈	⿱&AJ1-13701;皿
U-0002F940	直	直
U-0002F941	𥃳	⿰目亏
U-0002F942	𥃲	⿱目廾
U-0002F943	𥄙	⿰目&U-000244EF;
U-0002F944	𥄳	&JSP-4E5F;
U-0002F945	眞	&MJ018170;
U-0002F946	真	&MJ018173;
U-0002F947	真	⿱直八
U-0002F948	&C6-4248;	⿰目䏍
U-0002F949	䀹	⿰目夾
U-0002F94A	瞋	⿰目&MJ018170;
U-0002F94B	䁆	⿰目𡘹
U-0002F94C	&U-0002F94C;	&UU+4096;
U-0002F94D	𥐝	⿰石⿹勹一
U-0002F94E	硎	⿰石𠛬
U-0002F94F	碌	⿰石&C3-2871;
U-0002F950	磌	⿰石真
U-0002F951	䃣	⿰石&AJ1-05603;
U-0002F952	𥘦	⿰礻攵
U-0002F953	祖	⿰&U-000244EF;且
U-0002F954	𥚚	𥚚
U-0002F955	𥛅	⿰礻⿱卯田
U-0002F956	福	⿰礻⿳一&CDP-89CC;田
U-0002F957	秫	⿰禾术
U-0002F958	䄯	⿰禾幵
U-0002F959	穀	⿰⿳士冖禾&MJ014908;
U-0002F95A	&U-0002F95A;	⿰禾&AJ1-13701;
U-0002F95B	穏	⿰禾⿳&GT-25225;&AJ1-15391;心
U-0002F95C	&C6-5F75;	&C6-4C52;
U-0002F95D	𥪧	⿰立&MJ018170;
U-0002F95E	𥪧	⿰立真
U-0002F95F	&U-0002F95F;	⿰立&AJ1-07826;
U-0002F960	䈂	⿱竹幷
U-0002F961	&C6-6023;	&M-26183;
U-0002F962	篆	⿱竹⿱&AJ1-14521;𧰨
U-0002F963	築	⿱𥬑木
U-0002F964	&C7-413C;	⿱竹&AJ1-05603;
U-0002F965	𥲀	⿱竹巢
U-0002F966	糒	糒
U-0002F967	䊠	⿱&AJ1-13701;米
U-0002F968	糨	⿰米强
U-0002F969	&U-0002F969;	&C3-5855;
U-0002F96A	紀	⿰糸已
U-0002F96B	&C6-3366;	&C6-2D52;
U-0002F96C	絣	⿰糸幷
U-0002F96D	䌁	⿰糸&MJ024201;
U-0002F96E	緇	⿰糸甾
U-0002F96F	縂	⿰糸⿳八口心
U-0002F970	繅	⿰糸巢
U-0002F971	䌴	⿰糸𡣍
U-0002F972	&C6-4C72;	⿰缶幵
U-0002F973	𦉇	⿰缶&AJ1-07826;
U-0002F974	䍙	⿱罒每
U-0002F975	𦋙	⿱网𡘹
U-0002F976	罺	⿱罒巢
U-0002F977	𦌾	&C5-777A;
U-0002F978	羕	⿱𦍌𣱵
U-0002F979	翺	⿰⿱自&MJ006350;&AJ1-01227;
U-0002F97A	者	&AJ1-02304;
U-0002F97B	𦓚	&C5-4867;
U-0002F97C	𦔣	⿰&AJ1-06205;⿱&MJ012063;&AJ1-05368;
U-0002F97D	聠	⿰耳幷
U-0002F97E	𦖨	⿱刺耳
U-0002F97F	聰	⿰耳&AJ1-14542;
U-0002F980	𣍟	⿱⿱冖一⺼
U-0002F981	䏕	䏕
U-0002F982	育	⿱⿱&AJ1-04110;厶&MJ013520;
U-0002F983	脃	&JSP-5628;
U-0002F984	&U-0002F984;	&UU+440B;
U-0002F985	脾	𦜉
U-0002F986	媵	⿰⺼⿱&GT-K01769;女
U-0002F987	𦞧	⿰&MJ013520;留
U-0002F988	𦞵	⿰&MJ013520;⿱白本
U-0002F989	&C4-4C56;	⿰&MJ013520;旋
U-0002F98A	&C4-582D;	⿰⺼&AJ1-07449;
U-0002F98B	舁	⿱𦥑&MJ011120;
U-0002F98C	&U-0002F98C;	舄
U-0002F98D	辞	&AJ1-02265;
U-0002F98E	&C6-6125;	⿰舟幷
U-0002F98F	芑	⿱⺾已
U-0002F990	芋	芋
U-0002F991	芝	芝
U-0002F992	劳	劳
U-0002F993	花	花
U-0002F994	芳	⿱艸方
U-0002F995	芽	&MJ021616;
U-0002F996	苦	苦
U-0002F997	𦬼	⿱⺾尔
U-0002F998	若	若
U-0002F999	茝	⿱⺾𦣝
U-0002F99A	荣	荣
U-0002F99B	莭	⿱卝即
U-0002F99C	茣	⿱⺾吴
U-0002F99D	莽	⿳⺾大&MJ011120;
U-0002F99E	菧	⿱⺾㡳
U-0002F99F	著	著
U-0002F9A0	荓	⿱⺾幷
U-0002F9A1	菊	菊
U-0002F9A2	菌	菌
U-0002F9A3	菜	菜
U-0002F9A4	𦰶	&C6-4D70;
U-0002F9A5	&U-0002F9A5;	⿱⺾⿱⿱丅冖糸
U-0002F9A6	𦳕	⿱&MJ021875;廾
U-0002F9A7	䔫	⿱⺾⿰𤴔朿
U-0002F9A8	蓱	⿱⺾洴
U-0002F9A9	蓳	&UU+84F3;
U-0002F9AA	蔖	⿱⺾⿸&AJ1-06479;旦
U-0002F9AB	𧏊	𧏊
