;; -*- coding: utf-8-mcs-er -*-
HZK10-A874	&HZK10-A874;	⿰⻊冘
HZK10-A8A9	&HZK10-A8A9;	⿰⻊引
HZK10-A8AA	&HZK10-A8AA;	⿰⻊&GT-00033;
HZK10-A8AC	&HZK10-A8AC;	⿰⻊玉
HZK10-A8AD	&HZK10-A8AD;	⿰⻊未
HZK10-A8AE	&HZK10-A8AE;	⿰⻊末
HZK10-A8AF	&HZK10-A8AF;	⿰⻊&CDP-89DC;
HZK10-A8B0	&HZK10-A8B0;	⿰⻊邛
HZK10-A8B1	&HZK10-A8B1;	⿰⻊去
HZK10-A8B2	&HZK10-A8B2;	⿰⻊&GT-27544;
HZK10-A8B5	&HZK10-A8B5;	⿰⻊本
HZK10-A8B6	&HZK10-A8B6;	⿰⻊&GT-18344;
HZK10-A8B7	&HZK10-A8B7;	⿰⻊可
HZK10-A8B8	&HZK10-A8B8;	⿰⻊叵
HZK10-CAA7	&HZK10-CAA7;	⿺⻍&C1-4B32;
HZK10-CAA9	&HZK10-CAA9;	⿺⻍災
HZK10-CAAA	&HZK10-CAAA;	⿺⻍&M-42564;
HZK10-CAAB	&HZK10-CAAB;	⿺⻍⿰⺘&CDP-8C55;
HZK10-CAAD	&HZK10-CAAD;	⿺⻍亞
HZK10-CAAE	&HZK10-CAAE;	⿺⻍⿱&CDP-8B5C;木
HZK10-CAAF	&HZK10-CAAF;	⿺⻍&G0-4821;
HZK10-CAC7	&HZK10-CAC7;	⿺⻍昔
HZK10-CAC8	&HZK10-CAC8;	⿺⻍林
HZK10-CAC9	&HZK10-CAC9;	⿺⻍杳
HZK10-CACA	&HZK10-CACA;	⿺⻍奇
HZK10-CACB	&HZK10-CACB;	⿺⻍⿱大石
HZK10-CACC	&HZK10-CACC;	⿺⻌奔
HZK10-CACD	&HZK10-CACD;	⿺⻍來
HZK10-CACE	&HZK10-CACE;	⿺⻍疌
HZK10-CACF	&HZK10-CACF;	⿺⻍⿳一巛&CDP-8BBC;
HZK10-CAD0	&HZK10-CAD0;	⿺⻍&G0-3747;
HZK10-CAD1	&HZK10-CAD1;	⿺⻍歨
HZK10-CAD3	&HZK10-CAD3;	⿺⻍⿱⺊同
HZK10-CAD4	&HZK10-CAD4;	⿺⻍𠧧
HZK10-CAD5	&HZK10-CAD5;	⿺⻍&G0-3B22;
HZK10-CAE7	&HZK10-CAE7;	⿺⻍易
HZK10-CAE8	&HZK10-CAE8;	⿺⻍丳
HZK10-CAE9	&HZK10-CAE9;	⿺⻍⿱口冋
HZK10-CAEA	&HZK10-CAEA;	⿺⻍咖
HZK10-CAEB	&HZK10-CAEB;	⿺⻌罗
HZK10-CAEC	&HZK10-CAEC;	⿺⻍⿱山&GT-00138;
HZK10-CAED	&HZK10-CAED;	⿺⻍沓
HZK10-CB48	&HZK10-CB48;	⿺⻍&CDP-88EB;
HZK10-CB68	&HZK10-CB68;	⿺⻍⿷⿹⿱丿乚土土
HZK10-CB6A	&HZK10-CB6A;	⿺⻍侃
HZK10-CB6B	&HZK10-CB6B;	⿺⻍𠈉
HZK10-CBAA	&HZK10-CBAA;	⿺⻍𠈪
HZK10-CBAB	&HZK10-CBAB;	⿺⻍⿸𠂆⿱帀巾
HZK10-CBAC	&HZK10-CBAC;	⿺⻍⿰爪毛
HZK10-CBAD	&HZK10-CBAD;	⿺⻍&M-19664;
HZK10-A8CB	&HZK10-A8CB;	⿰⻊戉
HZK10-A8E9	&HZK10-A8E9;	⿱尙&CDP-8B68;
HZK10-A8EB	&HZK10-A8EB;	⿰⻊甲
HZK10-A8EC	&HZK10-A8EC;	⿰⻊田
HZK10-A8ED	&HZK10-A8ED;	⿰⻊冉
HZK10-A94A	&HZK10-A94A;	⿰⻊乍
HZK10-A94B	&HZK10-A94B;	⿰⻊𠂉小
HZK10-A94C	&HZK10-A94C;	⿰⻊丿友
HZK10-A94D	&HZK10-A94D;	⿰⻊㐌
HZK10-A94E	&HZK10-A94E;	⿰⻊丘
HZK10-A96A	&HZK10-A96A;	⿰斥&B-A8AC;
HZK10-A96B	&HZK10-A96B;	⿰⻊瓜
HZK10-A96D	&HZK10-A96D;	⿰⻊&JX1-4F5B;
HZK10-A96F	&HZK10-A96F;	⿰⻊&GT-00521;
HZK10-A970	&HZK10-A970;	⿰⻊&CDP-86BF;
HZK10-A972	&HZK10-A972;	⿰⻊&M-17027;
HZK10-A973	&HZK10-A973;	⿰⻊句
HZK10-A974	&HZK10-A974;	⿰⻊册
HZK10-A9AC	&HZK10-A9AC;	⿰⻊&CDP-8B5B;巳
HZK10-A9AF	&HZK10-A9AF;	⿰⻊必
HZK10-A9B0	&HZK10-A9B0;	⿰⻊&CDP-89B3;&M-03115;
HZK10-A9B1	&HZK10-A9B1;	⿰⻊尻
HZK10-A9B3	&HZK10-A9B3;	⿰⻊尸&M-03115;
HZK10-A9B4	&HZK10-A9B4;	⿰⻊民
HZK10-A9B5	&HZK10-A9B5;	⿰⻊弗
HZK10-A9CC	&HZK10-A9CC;	⿰⻊弓人
HZK10-A9CD	&HZK10-A9CD;	⿰⻊出
HZK10-A9D1	&HZK10-A9D1;	⿰⻊矛
HZK10-A9D2	&HZK10-A9D2;	⿰⻊母
HZK10-A9D3	&HZK10-A9D3;	⿰⻊匡
HZK10-A9D4	&HZK10-A9D4;	⿰⻊幵
HZK10-A9EE	&HZK10-A9EE;	⿰⻊吉
HZK10-A9F0	&HZK10-A9F0;	⿰⻊朿
HZK10-A9F2	&HZK10-A9F2;	⿰⻊在
HZK10-A9F3	&HZK10-A9F3;	⿰⻊存
HZK10-AA4D	&HZK10-AA4D;	⿰⻊大㐄
HZK10-AA4E	&HZK10-AA4E;	⿰⻊&CDP-8D7D;
HZK10-AA50	&HZK10-AA50;	⿰⻊&CDP-89D9;兀
HZK10-AA51	&HZK10-AA51;	⿰⻊&C1-4552;十
HZK10-AA53	&HZK10-AA53;	⿰⻊尗
HZK10-AA6D	&HZK10-AA6D;	⿱&C1-483A;&B-A8AC;
HZK10-AA6E	&HZK10-AA6E;	⿰⻊𠕋
HZK10-AA70	&HZK10-AA70;	⿰曲&CDP-8B6B;
HZK10-AA71	&HZK10-AA71;	⿰⻊曲
HZK10-AA72	&HZK10-AA72;	⿰⻊同
HZK10-AA73	&HZK10-AA73;	⿰⻊&CDP-8B79;
HZK10-AA74	&HZK10-AA74;	⿰⻊&GT-37363;
HZK10-AA76	&HZK10-AA76;	⿰⻊&CDP-8CE9;
HZK10-AA78	&HZK10-AA78;	⿰⻊&CDP-8BD4;壬
HZK10-AA79	&HZK10-AA79;	⿰⻊⾆
HZK10-AA7A	&HZK10-AA7A;	⿰⻊⻌千
HZK10-AA7B	&HZK10-AA7B;	⿰⻊𠂉&GT-00379;
HZK10-AA7C	&HZK10-AA7C;	⿰⻊伏
HZK10-AA7D	&HZK10-AA7D;	⿰⻊伐
HZK10-AAAF	&HZK10-AAAF;	⿰⻊&M-09569;
HZK10-AAB0	&HZK10-AAB0;	⿰⻊𠂆十几
