;; -*- coding: utf-8-mcs-er -*-
U-0002A1FA	𪇺	⿰黍⿱&CDP-8DC9;鳥
U-0002A1FB	𪇻	⿱誰鳥
U-0002A1FC	𪇼	⿰⿱&U-v002+5807;⿱八土鳥
U-0002A1FD	𪇽	⿰歎鳥
U-0002A1FE	𪇾	⿰⿸严⿱&CDP-88B4;比鳥
U-0002A1FF	𪇿	⿱𨿳鳥
U-0002A200	𪈀	⿰⿱吅禺鳥
U-0002A201	𪈁	⿰箴鳥
U-0002A202	𪈂	⿰魯鳥
U-0002A203	𪈃	⿰𩫏鳥
U-0002A204	𪈄	⿰遹鳥
U-0002A205	𪈅	⿱竹⿰⿹勹幸鳥
U-0002A206	𪈆	⿰瞢鳥
U-0002A207	𪈇	⿱錢鳥
U-0002A208	𪈈	⿱⿰束頁鳥
U-0002A209	𪈉	⿱縣鳥
U-0002A20A	𪈊	⿰鬲⿱羽鳥
U-0002A20B	𪈋	⿰⿱⿱⿱亠口口𢆉⿱夂鳥
U-0002A20C	𪈌	⿱獨鳥
U-0002A20D	𪈍	⿰⿳𠆢否酉鳥
U-0002A20E	𪈎	⿰⿰束⿱&CDP-8B6C;貝鳥
U-0002A20F	𪈏	⿱燕鳥
U-0002A210	𪈐	⿱賴鳥
U-0002A211	𪈑	⿰⿱雨易鳥
U-0002A212	𪈒	⿰鳥盧
U-0002A213	𪈓	⿰⿱竹⿰幸人鳥
U-0002A214	𪈔	⿰學鳥
U-0002A215	𪈕	⿰⿱𠆢爾鳥
U-0002A216	𪈖	⿰嶭鳥
U-0002A217	𪈗	⿰龍鳥
U-0002A218	𪈘	⿰薨鳥
U-0002A219	𪈙	⿰鳥薛
U-0002A21A	𪈚	⿰㬥鳥
U-0002A21B	𪈛	⿰薎鳥
U-0002A21C	𪈜	⿰縷鳥
U-0002A21D	𪈝	⿰霝鳥
U-0002A21E	𪈞	⿱皼鳥
U-0002A21F	𪈟	⿰薛鳥
U-0002A220	𪈠	⿰應鳥
U-0002A221	𪈡	⿱嶽鳥
U-0002A222	𪈢	⿰䉅鳥
U-0002A223	𪈣	⿰⿱竹⿹勹⿱𠅃干鳥
U-0002A224	𪈤	⿰鳥嬰
U-0002A225	𪈥	⿰巂鳥
U-0002A226	𪈦	⿰壘鳥
U-0002A227	𪈧	⿰薰鳥
U-0002A228	𪈨	⿰鳥身鳥
U-0002A229	𪈩	⿰鳥雚
U-0002A22A	𪈪	⿰⿳自𠈌天鳥
U-0002A22B	𪈫	⿰鳥㬥
U-0002A22C	𪈬	⿰身⿰鳥鳥
U-0002A22D	𪈭	⿰藍鳥
U-0002A22E	𪈮	⿰&AJ1-18690;鳥
U-0002A22F	𪈯	⿰瀖鳥
U-0002A230	𪈰	⿰羅鳥
U-0002A231	𪈱	⿰⿱䀠侯鳥
U-0002A232	𪈲	⿸广⿱雔鳥
U-0002A233	𪈳	⿰鳥麗
U-0002A234	𪈴	⿰矍鳥
U-0002A235	𪈵	⿰⿹勹⿱⿲个个个⿲个个个鳥
U-0002A236	𪈶	⿰鳥⿰𦎧攵
U-0002A237	𪈷	⿰𣀦鳥
U-0002A238	𪈸	⿰灌鳥
U-0002A239	𪈹	⿰𪋘鳥
U-0002A23A	𪈺	⿰屬鳥
U-0002A23B	𪈻	⿰權鳥
U-0002A23C	𪈼	⿱鳥⿰鳥鳥
U-0002A23D	𪈽	⿱䜌鳳
U-0002A23E	𪈾	⿰鷹鳥
U-0002A23F	𪈿	⿰蠻鳥
U-0002A240	𪉀	⿳⿰田田⿰田鳥⿰田田
U-0002A241	𪉁	⿰⻦欠
U-0002A242	𪉂	⿰云⻦
U-0002A243	𪉃	⿰文⻦
U-0002A244	𪉄	⿰斥⻦
U-0002A245	𪉅	⿰式⻦
U-0002A246	𪉆	⿰旨⻦
U-0002A247	𪉇	⿰⻦戌
U-0002A248	𪉈	⿱此⻦
U-0002A249	𪉉	⿰庄⻦
U-0002A24A	𪉊	⿰⿱&AJ1-01341;十⻦
U-0002A24B	𪉋	⿱舛⻦
U-0002A24C	𪉌	⿰求⻦
U-0002A24D	𪉍	⿰秃⻦
U-0002A24E	𪉎	⿰昏⻦
U-0002A24F	𪉏	⿰某⻦
U-0002A250	𪉐	⿰禺⻦
U-0002A251	𪉑	⿱敖⻦
U-0002A252	𪉒	⿰班⻦
U-0002A253	𪉓	⿱⿰⻦⻦⻦
U-0002A254	𪉔	⿰𣬉⻦
U-0002A255	𪉕	⿰⻦箴
U-0002A256	𪉖	⿱鹵土
