;; -*- coding: utf-8-mcs-er -*-
HZK08-CB63	&HZK08-CB63;	⿱⺮甾&GT-11788;
HZK08-CB64	&HZK08-CB64;	⿱⺮&B-C4D2;
HZK08-CB65	&HZK08-CB65;	⿱⺮&GT-30443;
HZK08-CB66	&HZK08-CB66;	⿱⺮&GT-05771;
HZK08-CB67	&HZK08-CB67;	⿱⺮&CDP-8AD1;&B-ADB6;
HZK08-CB68	&HZK08-CB68;	⿱籠木
HZK08-CB6A	&HZK08-CB6A;	⿱⺮&CDP-8ABA;勹&B-B3BD;
HZK08-CB6B	&HZK08-CB6B;	⿱⺮&B-C553;
HZK08-CB6C	&HZK08-CB6C;	⿱⺮&M-28039;
HZK08-CB6D	&HZK08-CB6D;	⿳⺮⿰口口&B-AB41;囧
HZK08-CB6E	&HZK08-CB6E;	⿱⺮勹幸&B-B3BE;
HZK08-CB6F	&HZK08-CB6F;	⿱⺮&B-C547;
HZK08-CB70	&HZK08-CB70;	⿱⺮覿
HZK08-CB71	&HZK08-CB71;	⿱⺮&B-C5C6;
HZK08-CB72	&HZK08-CB72;	⿱⺮&GT-24057;
HZK08-CB73	&HZK08-CB73;	⿱⺮竟&B-B365;
HZK08-CB74	&HZK08-CB74;	⿱⺮&B-BEA6;其
HZK08-CB75	&HZK08-CB75;	⿱⺮&B-BEA6;&GT-08939;
HZK08-CB76	&HZK08-CB76;	⿱⺮⿰⺡&GT-30443;
HZK08-CB77	&HZK08-CB77;	⿱⺮&B-C646;
HZK08-CB78	&HZK08-CB78;	⿱⺮&B-F8CF;
HZK08-CB79	&HZK08-CB79;	⿱⺮&GT-45725;
HZK08-CBA4	&HZK08-CBA4;	⿱⺮&B-C642;
HZK08-CBA5	&HZK08-CBA5;	⿱⺮&B-F964;
HZK08-A8C4	&HZK08-A8C4;	⿰虫&B-D3E2;
HZK08-A8C5	&HZK08-A8C5;	⿰虫晉
HZK08-A8C6	&HZK08-A8C6;	⿰虫丵
HZK08-A8C7	&HZK08-A8C7;	⿰虫&CDP-8ACC;
HZK08-A8C8	&HZK08-A8C8;	⿰虫小&CDP-8CED;
HZK08-A8C9	&HZK08-A8C9;	⿱日蛬
HZK08-A8CA	&HZK08-A8CA;	⿰虫&JSP-4D39;
HZK08-A8CC	&HZK08-A8CC;	⿰虫⿴囗𦣻
HZK08-A8CF	&HZK08-A8CF;	⿰虫&M-28122;
HZK08-A8D0	&HZK08-A8D0;	⿰虫氣
HZK08-A8D1	&HZK08-A8D1;	⿱氣虫
HZK08-A8D2	&HZK08-A8D2;	⿱特虫
HZK08-A8D3	&HZK08-A8D3;	⿰虫造
HZK08-A8D4	&HZK08-A8D4;	⿰虫笄
HZK08-A8D5	&HZK08-A8D5;	⿰虫叟
HZK08-A8D6	&HZK08-A8D6;	⿰虫脩
HZK08-A8E3	&HZK08-A8E3;	⿱射虫
HZK08-A8E6	&HZK08-A8E6;	⿰虫囟&C1-4552;
HZK08-A8E7	&HZK08-A8E7;	⿰虫囟儿厶
HZK08-A8E8	&HZK08-A8E8;	⿰虫囟心
HZK08-A8EA	&HZK08-A8EA;	⿱師虫
HZK08-A8EB	&HZK08-A8EB;	⿰虫𠂆&GT-44176;人
HZK08-A8EE	&HZK08-A8EE;	⿱般虫
HZK08-A944	&HZK08-A944;	⿰虫&CDP-8BFA;夫
HZK08-A945	&HZK08-A945;	⿰虫&CDP-8BFA;木
HZK08-A946	&HZK08-A946;	⿰虫㐅木&GT-21300;
HZK08-A949	&HZK08-A949;	⿳氏⿰虫虫
HZK08-A94A	&HZK08-A94A;	⿱&M-38901;虫
HZK08-A94B	&HZK08-A94B;	⿰虫桀
HZK08-A94C	&HZK08-A94C;	⿰虫夂卜田
HZK08-A94D	&HZK08-A94D;	⿰虫&CDP-8CDA;
HZK08-A94E	&HZK08-A94E;	⿰虫留
HZK08-A94F	&HZK08-A94F;	⿰虫芻
HZK08-A950	&HZK08-A950;	⿰虫丶匡大
HZK08-A951	&HZK08-A951;	⿰虫&B-B0AA;
HZK08-A952	&HZK08-A952;	&GT-00384;攵虫
HZK08-A954	&HZK08-A954;	⿱&GT-28350;虫
HZK08-A955	&HZK08-A955;	⿰蚊虫
HZK08-A956	&HZK08-A956;	⿳&M-13450;⿰虫虫
HZK08-A965	&HZK08-A965;	⿲虫⿰&GT-33181;&GT-33181;
HZK08-A967	&HZK08-A967;	⿰虫&GT-29427;
HZK08-A968	&HZK08-A968;	⿰虫&M-01483;
HZK08-A96A	&HZK08-A96A;	⿱&CDP-8C5F;虫
HZK08-A96B	&HZK08-A96B;	⿰虫&GT-08989;
HZK08-A96D	&HZK08-A96D;	⿰虫&GT-08869;伯
HZK08-A96E	&HZK08-A96E;	⿰虫穴且
HZK08-A96F	&HZK08-A96F;	⿰虫&GT-14838;
HZK08-A9A6	&HZK08-A9A6;	⿱展虫
HZK08-A9A7	&HZK08-A9A7;	⿰虫&M-07716;
