;; -*- coding: utf-8-mcs-er -*-
HZK01-AFE5	&I-HZK01-AFE5;	丩&CDP-88AC;囗㐅禸
HZK01-AFE6	&HZK01-AFE6;	⿰業乚
HZK01-AFE8	&HZK01-AFE8;	炎舛乚
HZK01-AFE9	&I-HZK01-AFE9;	&CDP-857B;日丂乞
HZK01-AFEA	&I-HZK01-AFEA;	&CDP-855E;日丂乞
HZK01-B047	&I-HZK01-B047;	⿱九十
HZK01-B048	&I-HZK01-B048;	十&CDP-8C78;
HZK01-B049	&I-HZK01-B049;	⿰十力
HZK01-B04A	&HZK01-B04A;	⿰㔾十
HZK01-B064	&I-HZK01-B064;	⿱十&CDP-86B4;
HZK01-B066	&I-HZK01-B066;	⿱上十
HZK01-B067	&I-HZK01-B067;	⿱久十
HZK01-B068	&I-HZK01-B068;	十𡰣
HZK01-B069	&I-HZK01-B069;	⿱井十
HZK01-B06A	&I-HZK01-B06A;	⿰云十
HZK01-B06C	&I-HZK01-B06C;	⿱十廿
HZK01-B06D	&I-HZK01-B06D;	&CDP-8DF6;十
HZK01-B06E	&I-HZK01-B06E;	⿰&CDP-87CB;十
HZK01-B06F	&I-HZK01-B06F;	⿱上千
HZK01-B070	&I-HZK01-B070;	⿰卄卄
HZK01-B071	&I-HZK01-B071;	⿱不十
HZK01-B073	&I-HZK01-B073;	⿰千千
HZK01-B074	&I-HZK01-B074;	⿱化十
HZK01-B075	&I-HZK01-B075;	⿱仌十
HZK01-B076	&HZK01-B076;	⿳&GT-K00059;𠆢十
HZK01-B07A	&I-HZK01-B07A;	⿰十办
HZK01-B0A6	&I-HZK01-B0A6;	⿳一火十
HZK01-B0A8	&HZK01-B0A8;	⿱&CDP-8775;十
HZK01-B0A9	&I-HZK01-B0A9;	⿰十&MJ000945;
HZK01-B0AA	&I-HZK01-B0AA;	⿱&C4-2263;十
HZK01-D0C8	&I-HZK01-D0C8;	⿰⺅&MJ010355;
HZK01-D0C9	&I-HZK01-D0C9;	⿰⺅蚩
HZK01-D0CA	&HZK01-D0CA;	⿰⺅能
HZK01-D0CB	&I-HZK01-D0CB;	⿲⺅又&B-AB41;
HZK01-D0CC	&HZK01-D0CC;	⿰⺅&HZK07-E676;
HZK01-D0CD	&I-HZK01-D0CD;	⿰⺅&GT-44405;
HZK01-D0CE	&I-HZK01-D0CE;	⿱&MJ007267;丣
HZK01-D0CF	&I-HZK01-D0CF;	⿱⿰未成𠆢
HZK01-D0DE	&I-HZK01-D0DE;	⿱帶入
HZK01-D0DF	&I-HZK01-D0DF;	⿱合&CDP-8AA3;
HZK01-D0E1	&I-HZK01-D0E1;	⿳&CDP-8AFC;从⿰个个
HZK01-D0E2	&I-HZK01-D0E2;	⿱&CDP-8AFC;&CDP-88A6;
HZK01-D0E3	&I-HZK01-D0E3;	⿱入爽
HZK01-D0E5	&I-HZK01-D0E5;	⿱𠆢&CDP-857C;
