;; -*- coding: utf-8-mcs-er -*-
U-00028244	𨉄	⿰身⿱丿&MJ057001;
U-00028245	𨉅	⿰身⿱&CDP-8AFC;丌
U-00028246	𨉆	⿰身色
U-00028247	𨉇	⿰身⿱火人
U-00028248	𨉈	⿰身廷
U-00028249	𨉉	⿰身坒
U-0002824A	𨉊	⿰身⿱比大
U-0002824B	𨉋	⿰身兌
U-0002824C	𨉌	⿰身足
U-0002824D	𨉍	⿰身㒵
U-0002824E	𨉎	⿰身辰
U-0002824F	𨉏	⿰身&MJ007230;
U-00028250	𨉐	⿰身我
U-00028251	𨉑	⿰身呈
U-00028252	𨉒	⿰身災
U-00028253	𨉓	⿰身⿱八丙
U-00028254	𨉔	⿰身卓
U-00028255	𨉕	⿰身戾
U-00028256	𨉖	⿵門身
U-00028257	𨉗	⿰身宝
U-00028258	𨉘	⿰身近
U-00028259	𨉙	⿰身⿹戈歹
U-0002825A	𨉚	⿰身奄
U-0002825B	𨉛	⿰身⿱口矢
U-0002825C	𨉜	⿰身周
U-0002825D	𨉝	⿰身宛
U-0002825E	𨉞	⿰身夌
U-0002825F	𨉟	⿰身命
U-00028260	𨉠	⿰身拌
U-00028261	𨉡	⿰身垂
U-00028262	𨉢	⿰身重
U-00028263	𨉣	⿰身叚
U-00028264	𨉤	⿰身皇
U-00028265	𨉥	⿰身面
U-00028266	𨉦	⿰身骨
U-00028267	𨉧	⿰身⿵戊歹
U-00028268	𨉨	⿰身段
U-00028269	𨉩	⿰身春
U-0002826A	𨉪	⿰身曷
U-0002826B	𨉫	⿰身⿹勹吕
U-0002826C	𨉬	⿰身亭
U-0002826D	𨉭	⿰身眉
U-0002826E	𨉮	⿰身𣬉
U-0002826F	𨉯	⿰身⿱𦥔丂
U-00028270	𨉰	⿰身郎
U-00028271	𨉱	⿰身弱
U-00028272	𨉲	⿰身高
U-00028273	𨉳	⿰身&MJ020661;
U-00028274	𨉴	⿰身茸
U-00028275	𨉵	⿰身鬼
U-00028276	𨉶	⿰身差
U-00028277	𨉷	⿰身容
U-00028278	𨉸	⿰身馬
U-00028279	𨉹	⿰身國
U-0002827A	𨉺	⿰身貧
