;; -*- coding: utf-8-mcs-er -*-
U-000261B5	𦆵	⿰糸⿱免免
U-000261B6	𦆶	⿰糸⿳卝土言
U-000261B7	𦆷	⿰糸⿱非再
U-000261B8	𦆸	⿰糸遙
U-000261B9	𦆹	⿰糸對
U-000261BA	𦆺	⿰糸領
U-000261BB	𦆻	⿰糸巤
U-000261BC	𦆼	⿰糸寬
U-000261BD	𦆽	⿰索率
U-000261BE	𦆾	⿰素率
U-000261BF	𦆿	⿰糸暴
U-000261C0	𦇀	⿰糸慧
U-000261C1	𦇁	⿰糸敷
U-000261C2	𦇂	⿱卝&CDP-86BB;
U-000261C3	𦇃	⿰糸箸
U-000261C4	𦇄	⿰糸畾
U-000261C5	𦇅	⿰糸⿱&CDP-86C3;貝
U-000261C6	𦇆	⿱數糸
U-000261C7	𦇇	⿰糸⿱堯土
U-000261C8	𦇈	⿰糸𢀩
U-000261C9	𦇉	⿰糸⿱⻃叚
U-000261CA	𦇊	⿰糸輝
U-000261CB	𦇋	⿰糸⿱艹粛
U-000261CC	𦇌	⿰糸⿳⺤⺫⿱一犮
U-000261CD	𦇍	⿰糸⿰⿳士冖糸殳
U-000261CE	𦇎	⿰糸蔥
U-000261CF	𦇏	⿰糸瞏
U-000261D0	𦇐	⿰糸⿳⿻𦥑幺一火
U-000261D1	𦇑	⿰糸摩
U-000261D2	𦇒	⿰糸磊
U-000261D3	𦇓	⿰糸𢇍
U-000261D4	𦇔	⿰糸歷
U-000261D5	𦇕	⿰糸𢿱
U-000261D6	𦇖	⿰糸頻
U-000261D7	𦇗	⿰糸選
U-000261D8	𦇘	⿰糸麇
U-000261D9	𦇙	⿰糸舉
U-000261DA	𦇚	⿱彐⿰⿱米廾素
U-000261DB	𦇛	⿰糸賴
U-000261DC	𦇜	⿰糸⿱屾⿰用用
U-000261DD	𦇝	⿰糸縈
U-000261DE	𦇞	⿰糸&C1-725C;
U-000261DF	𦇟	⿰糸⿸厂熏
U-000261E0	𦇠	⿰糸&C1-7221;
U-000261E1	𦇡	⿰糸?
U-000261E2	𦇢	⿰糸⿱臸日
U-000261E3	𦇣	⿰糸⿱臾貝
U-000261E4	𦇤	⿰糸彊
U-000261E5	𦇥	⿱䜌久
U-000261E6	𦇦	⿰糸頰
U-000261E7	𦇧	⿰糸罽
U-000261E8	𦇨	⿳亠母縣
U-000261E9	𦇩	⿰糸&C1-7535;
U-000261EA	𦇪	⿰糸⿱&CDP-8D60;戍
U-000261EB	𦇫	⿰糸鮮
U-000261EC	𦇬	⿰糸龠
U-000261ED	𦇭	⿰糸⿺辶⿳白穴口
U-000261EE	𦇮	⿰糸鍾
U-000261EF	𦇯	⿰糸彌
U-000261F0	𦇰	⿰糸蹙
U-000261F1	𦇱	⿰糸叢
U-000261F2	𦇲	⿰糸⿳𠆢&CDP-85AE;土
U-000261F3	𦇳	⿰糸𤐫
U-000261F4	𦇴	⿰糸藏
U-000261F5	𦇵	⿱幽&CDP-86E3;
U-000261F6	𦇶	⿰糸⿺辶⿱臾㠯
U-000261F7	𦇷	⿱䜌电
U-000261F8	𦇸	⿰糸覈
U-000261F9	𦇹	⿴絲矞
U-000261FA	𦇺	⿰糸靡
U-000261FB	𦇻	⿰⿱𠂹糸爰
U-000261FC	𦇼	⿰糸⿱爾虫
U-000261FD	𦇽	⿰糸⿵⿳&MJ006463;口⿰⺼月羊
U-000261FE	𦇾	⿰糸䦲
U-000261FF	𦇿	⿰糸⿱免⿰免免
U-00026200	𦈀	⿰⿱𠂹糸⿳⺊日宁
U-00026201	𦈁	⿰⿱𠂹糸率
U-00026202	𦈂	⿰糸饒
U-00026203	𦈃	⿰糸囊
U-00026204	𦈄	⿲糸⿱⿱巛⿵囗㐅⿳⿰工几一几糸
U-00026205	𦈅	⿰糸⿱畾宜
U-00026206	𦈆	⿱⿰糸文寶
U-00026207	𦈇	⿴⿱𦥑絲矞	@apparent=⿱⿴𦥑矛⿲&A-IWDSU+7CF8;冏&A-IWDSU+7CF8;
U-00026208	𦈈	⿰纟斥
U-00026209	𦈉	⿰纟军
U-0002620A	𦈊	⿰纟巫
U-0002620B	𦈋	⿰纟酉
U-0002620C	𦈌	⿰纟束
U-0002620D	𦈍	⿰纟⿱尤止
U-0002620E	𦈎	⿰纟单
U-0002620F	𦈏	⿰纟⿱氏日
U-00026210	𦈐	⿰纟连
U-00026211	𦈑	⿰纟垔
U-00026212	𦈒	⿰纟枲
U-00026213	𦈓	⿰纟畏
U-00026214	𦈔	⿰纟骨
U-00026215	𦈕	⿰纟俞
U-00026216	𦈖	⿰纟𦐇
U-00026217	𦈗	⿰纟匪
U-00026218	𦈘	⿰纟荅
U-00026219	𦈙	⿰纟聂
U-0002621A	𦈚	⿰纟戚
U-0002621B	𦈛	⿰纟最
U-0002621C	𦈜	⿰纟集
U-0002621D	𦈝	⿰纟巽
U-0002621E	𦈞	⿰纟辟
U-0002621F	𦈟	⿰纟禁
U-00026220	𦈠	⿰纟㥯
U-00026221	𦈡	⿰纟需
U-00026222	𦈢	𦈢
U-00026223	𦈣	⿰缶亏
U-00026224	𦈤	⿰缶⿱丿𠀁
U-00026225	𦈥	⿰缶亍
U-00026226	𦈦	⿰缶火
U-00026227	𦈧	⿰缶不
U-00026228	𦈨	⿰缶开
U-00026229	𦈩	⿱⿰工几缶
U-0002622A	𦈪	⿰缶&CDP-86DB;
U-0002622B	𦈫	⿰缶⿱&CDP-89B3;又
U-0002622C	𦈬	⿱此缶
U-0002622D	𦈭	⿰缶朮
U-0002622E	𦈮	⿰缶⿱一&CDP-87F9;
U-0002622F	𦈯	⿱吅缶
U-00026230	𦈰	⿰缶圭
U-00026231	𦈱	⿱次缶
U-00026232	𦈲	⿰缶亥
U-00026233	𦈳	⿱池缶
U-00026234	𦈴	⿰缶孚
U-00026235	𦈵	⿰缶巠
U-00026236	𦈶	⿰缶否
U-00026237	𦈷	⿰缶㐬
U-00026238	𦈸	⿰缶或
U-00026239	𦈹	⿱尚缶
U-0002623A	𦈺	⿰缶周
U-0002623B	𦈻	⿰缶戔
U-0002623C	𦈼	⿱垂缶
U-0002623D	𦈽	⿰缶受
U-0002623E	𦈾	⿰缶⿸&GT-K00880;手
U-0002623F	𦈿	⿰缶⿱白巾
U-00026240	𦉀	⿰缶⿱甶丂
U-00026241	𦉁	⿰缶是
U-00026242	𦉂	⿰缶重
U-00026243	𦉃	⿰缶⿱世木
U-00026244	𦉄	⿰缶䖉
U-00026245	𦉅	⿰缶咢
U-00026246	𦉆	⿰缶查
U-00026247	𦉇	⿰缶屏
U-00026248	𦉈	⿱𠂹缶
U-00026249	𦉉	⿰缶留
U-0002624A	𦉊	⿰缶尃
U-0002624B	𦉋	⿰𦈢𧆠
U-0002624C	𦉌	⿰缶𧆠
U-0002624D	𦉍	⿱䀠缶
U-0002624E	𦉎	⿰缶崔
U-0002624F	𦉏	⿰缶雩
U-00026250	𦉐	⿰缶瓶
U-00026251	𦉑	⿰𦈢虖
U-00026252	𦉒	⿰缶&MJ007833;
U-00026253	𦉓	⿰缶鳥
U-00026254	𦉔	⿰⿱⺤缶⿱巛巴
U-00026255	𦉕	⿰缶單
U-00026256	𦉖	⿰缶𡍮
U-00026257	𦉗	⿰缶堯
U-00026258	𦉘	⿰缶⿱尚牙
U-00026259	𦉙	⿰缶廌
U-0002625A	𦉚	⿱⿲木缶木司
U-0002625B	𦉛	⿰缶⿸虍𦉬
U-0002625C	𦉜	⿰缶詹
U-0002625D	𦉝	⿱⿻&CDP-8B64;同缶
U-0002625E	𦉞	⿱&CDP-8D50;缶
U-0002625F	𦉟	⿰缶齒
U-00026260	𦉠	⿳⿲木缶木冖司
U-00026261	𦉡	⿰𦈢曇
U-00026262	𦉢	⿰缶霝
U-00026263	𦉣	⿱霝缶
U-00026264	𦉤	⿳棥冖⿰缶寸
U-00026265	𦉥	⿱雝缶
U-00026266	𦉦	⿱⿲王貝貝缶
U-00026267	𦉧	⿱獻缶
U-00026268	𦉨	⿸广⿱⿰邕隹缶
U-00026269	𦉩	⿳⿰田田⿰缶回⿰田田
U-0002626A	𦉪	⿵冂儿
U-0002626B	𦉫	⿵冂⿰丨丨
U-0002626C	𦉬	⿱⺲丁
U-0002626D	𦉭	𦉭
U-0002626E	𦉮	⿱⺱匕
U-0002626F	𦉯	⿵网一
U-00026270	𦉰	⿵冂&GT-39640;
U-00026271	𦉱	⿱⺲七
U-00026272	𦉲	⿱㓁十
U-00026273	𦉳	⿵冂双
U-00026274	𦉴	⿱⺲十
