<;; -*- coding: utf-8-mcs-er -*-
HZK11-A768	&HZK11-A768;	⿰止&B-AB41;
HZK11-A76A	&HZK11-A76A;	⿰夭&B-AB41;
HZK11-A76B	&HZK11-A76B;	⿰&GT-25336;&B-AB41;
HZK11-A76D	&HZK11-A76D;	⿰氏&B-AB41;
HZK11-A76E	&HZK11-A76E;	⿱&CDP-8B5E;&B-AB41;
HZK11-A76F	&HZK11-A76F;	⿱&GT-02187;&M-03115;
HZK11-A770	&HZK11-A770;	⿱&B-AB41;&GT-01896;
HZK11-A771	&HZK11-A771;	⿰&GT-00379;&B-AB41;
HZK11-A7A9	&HZK11-A7A9;	⿰&GT-17214;&B-AB41;
HZK11-A7AB	&HZK11-A7AB;	⿰冘&B-AB41;
HZK11-A7AC	&HZK11-A7AC;	⿰夬&B-AB41;
HZK11-A7AD	&HZK11-A7AD;	⿱&B-AB41;&CDP-86AD;
HZK11-A7AE	&HZK11-A7AE;	⿱巧&B-AB41;
HZK11-A7AF	&HZK11-A7AF;	⿰正&B-AB41;
HZK11-A7B0	&HZK11-A7B0;	⿰古&B-AB41;
HZK11-A7B1	&HZK11-A7B1;	⿰左&B-AB41;
HZK11-A7B2	&HZK11-A7B2;	⿱左&B-AB41;
HZK11-A7B3	&HZK11-A7B3;	⿰右&B-AB41;
HZK11-A7B4	&HZK11-A7B4;	⿰犮&B-AB41;
HZK11-A7B5	&HZK11-A7B5;	⿱𡗜&B-AB41;
HZK11-A7B6	&HZK11-A7B6;	⿰申&B-AB41;
HZK11-A7CA	&HZK11-A7CA;	⿰失&B-AB41;
HZK11-A7CB	&HZK11-A7CB;	⿰付&B-AB41;
HZK11-A7CC	&HZK11-A7CC;	⿰令&B-AB41;
HZK11-A7CD	&HZK11-A7CD;	⿰&M-17027;&B-AB41;
HZK11-A7E9	&HZK11-A7E9;	⿰&M-01610;&B-AB41;
HZK11-A7EA	&HZK11-A7EA;	&CDP-8B5B;&CDP-897C;&B-AB41;
HZK11-A7EB	&HZK11-A7EB;	⿰&GT-00138;&B-AB41;
HZK11-A7ED	&HZK11-A7ED;	⿰民&B-AB41;
HZK11-A7EE	&HZK11-A7EE;	⿱奴&B-AB41;
HZK11-A7EF	&HZK11-A7EF;	乃𠔼&B-AB41;
HZK11-A7F0	&HZK11-A7F0;	厶干&B-AB41;
HZK11-A7F1	&HZK11-A7F1;	⿰台&B-AB41;
HZK11-A7F2	&HZK11-A7F2;	⿰矛&B-AB41;
HZK11-A7F3	&HZK11-A7F3;	⿰母&B-AB41;
HZK11-A7F4	&HZK11-A7F4;	⿰幵&B-AB41;
HZK11-A7F5	&HZK11-A7F5;	⿰&GT-39650;&B-AB41;
HZK11-A7F6	&HZK11-A7F6;	⿰而&B-AB41;
HZK11-A7F7	&HZK11-A7F7;	⿰夸&B-AB41;
HZK11-A7F8	&HZK11-A7F8;	⿱列&B-AB41;
HZK11-A7F9	&HZK11-A7F9;	⿰至&B-AB41;
HZK11-A84B	&HZK11-A84B;	⿰&B-AB41;&GT-02964;
HZK11-A84C	&HZK11-A84C;	⿰&CDP-89E7;&B-AB41;
HZK11-A84D	&HZK11-A84D;	⿳⿰口口&B-AB41;
HZK11-A84E	&HZK11-A84E;	⿱&B-AB41;肉
HZK11-A84F	&HZK11-A84F;	⿰朱&B-AB41;
HZK11-A850	&HZK11-A850;	⿰先&B-AB41;
HZK11-A851	&HZK11-A851;	⿰臼&B-AB41;
HZK11-A852	&HZK11-A852;	⿱臼&B-AB41;
HZK11-A853	&HZK11-A853;	⿰任&B-AB41;
HZK11-A854	&HZK11-A854;	&M-19655;丂&B-AB41;
HZK11-A855	&HZK11-A855;	⿰合&B-AB41;
HZK11-A856	&HZK11-A856;	⿰兆&B-AB41;
HZK11-A857	&HZK11-A857;	九木&B-AB41;
HZK11-A858	&HZK11-A858;	⿰危&B-AB41;
HZK11-A86A	&HZK11-A86A;	⿱&GT-24496;厶
HZK11-A86B	&HZK11-A86B;	⿰&GT-08880;&B-AB41;
HZK11-A86C	&HZK11-A86C;	⿲⿱&CDP-897C;&CDP-897C;&B-AB41;
HZK11-A86D	&HZK11-A86D;	⿱如&B-AB41;
HZK11-A86E	&HZK11-A86E;	龴&GT-00033;&B-AB41;
HZK11-A86F	&HZK11-A86F;	⿰巫&B-AB41;
HZK11-A870	&HZK11-A870;	⿰甫&B-AB41;
HZK11-A871	&HZK11-A871;	&CDP-887A;倠
HZK11-A872	&HZK11-A872;	⿰尨&B-AB41;
HZK11-A873	&HZK11-A873;	⿰巠&B-AB41;
HZK11-A874	&HZK11-A874;	⿰旱&B-AB41;
HZK11-A875	&HZK11-A875;	⿰&B-A8A9;&B-AB41;
HZK11-A876	&HZK11-A876;	⿰&M-29269;&B-AB41;
HZK11-A877	&HZK11-A877;	⿰告&B-AB41;
HZK11-A878	&HZK11-A878;	⿰我&B-AB41;
HZK11-A879	&HZK11-A879;	⿰禿&B-AB41;
HZK11-A87A	&HZK11-A87A;	⿱&CDP-8AA3;&B-AB41;
HZK11-A87B	&HZK11-A87B;	⿰役&B-AB41;
HZK11-A87C	&HZK11-A87C;	&M-19655;寸&B-AB41;
HZK11-A87D	&HZK11-A87D;	⿰孚&B-AB41;
HZK11-A8A1	&HZK11-A8A1;	⿰&B-AB41;希
HZK11-A8AC	&HZK11-A8AC;	⿰希&B-AB41;
HZK11-A8AD	&HZK11-A8AD;	⿰&B-A8BC;&B-AB41;
HZK11-A8AE	&HZK11-A8AE;	⿰谷&B-AB41;
HZK11-A8AF	&HZK11-A8AF;	⿱狂&B-AB41;
HZK11-A8B0	&HZK11-A8B0;	⿰&B-AB41;弟
HZK11-A8B1	&HZK11-A8B1;	⿰弟&B-AB41;
HZK11-A8B2	&HZK11-A8B2;	⿱&GT-24496;口
HZK11-A8B3	&HZK11-A8B3;	&CDP-8B43;左&B-AB41;
HZK11-A8B4	&HZK11-A8B4;	⿰&CDP-8D64;&B-AB41;
HZK11-A8B5	&HZK11-A8B5;	⿰&B-AB43;&B-AB41;
HZK11-A8B6	&HZK11-A8B6;	⿰&M-04989;&B-AB41;
HZK11-A8B7	&HZK11-A8B7;	⿰其&B-AB41;
HZK11-A8B8	&HZK11-A8B8;	⿰昔&B-AB41;
HZK11-A8B9	&HZK11-A8B9;	⿰𠦝&B-AB41;
HZK11-A8BA	&HZK11-A8BA;	⿰東&B-AB41;
HZK11-A8BB	&HZK11-A8BB;	⿰奇&B-AB41;
HZK11-A8BC	&HZK11-A8BC;	⿰妻&B-AB41;
HZK11-A8BD	&HZK11-A8BD;	⿰卓&B-AB41;
HZK11-A8BE	&HZK11-A8BE;	⿰尙&B-AB41;
HZK11-A8BF	&HZK11-A8BF;	⿰昆&B-AB41;
HZK11-A8C0	&HZK11-A8C0;	山丘&B-AB41;
HZK11-A8C1	&HZK11-A8C1;	⿰垂&B-AB41;
HZK11-A8C2	&HZK11-A8C2;	⿱𥝢&B-AB41;
HZK11-CA68	&HZK11-CA68;	⿰&B-AAF7;&CDP-8BDF;吉
HZK11-CA69	&HZK11-CA69;	⿰&B-AAF7;&CDP-8BDF;至
