;; -*- coding: utf-8-mcs-er -*-
HZK03-CAB3	&HZK03-CAB3;	⿰弓巨
HZK03-CAB4	&I-HZK03-CAB4;	⿰弓互
HZK03-CAB5	&I-HZK03-CAB5;	弓一幺
HZK03-CAB6	&HZK03-CAB6;	⿰弓攴
HZK03-CAB7	&HZK03-CAB7;	⿰弓长
HZK03-CAB8	&I-HZK03-CAB8;	⿰弓斤
HZK03-CAB9	&HZK03-CAB9;	⿰弓欠
HZK03-CABA	&I-HZK03-CABA;	⿳&CDP-8B5B;冖弓
HZK03-CABB	&I-HZK03-CABB;	⿰弓&GT-17214;
HZK03-CABC	&I-HZK03-CABC;	⿱弓火
HZK03-CABD	&I-HZK03-CABD;	⿰弓夬
HZK03-CABE	&I-HZK03-CABE;	⿰弓引
HZK03-CAC0	&I-HZK03-CAC0;	⿰弓予
HZK03-CAC1	&I-HZK03-CAC1;	弓幺丨
HZK03-CAC2	&I-HZK03-CAC2;	⿰弓古
HZK03-CAC3	&I-HZK03-CAC3;	弓匚久
HZK03-CAC4	&I-HZK03-CAC4;	弓⺊巳
HZK03-CAC5	&I-HZK03-CAC5;	⿰弓&CDP-8BAD;
HZK03-CAC6	&I-HZK03-CAC6;	⿰弓四
HZK03-CAC7	&HZK03-CAC7;	⿰弓㐌
HZK03-CAD2	&I-HZK03-CAD2;	乇弓&CDP-89A6;
HZK03-CAD5	&I-HZK03-CAD5;	弓&GT-00458;小
HZK03-CAD7	&HZK03-CAD7;	⿰弓&GT-09429;
HZK03-CAF2	&HZK03-CAF2;	⿰弓民
HZK03-CAF3	&I-HZK03-CAF3;	⿱弗弓
HZK03-CAF4	&HZK03-CAF4;	⿰&CDP-886C;&CDP-886C;
HZK03-CAF8	&HZK03-CAF8;	⿰弓皮
HZK03-CB53	&I-HZK03-CB53;	弓厶大
HZK03-CB54	&I-HZK03-CB54;	⿱幵弓
HZK03-CB56	&HZK03-CB56;	⿰弓臣
HZK03-CB57	&HZK03-CB57;	⿰弓𦣝
HZK03-CB58	&HZK03-CB58;	⿰弓百
HZK03-CB59	&I-HZK03-CB59;	⿰弓同
HZK03-CB5A	&HZK03-CB5A;	弓囗&CDP-89D5;
HZK03-CB5B	&HZK03-CB5B;	⿰弓&CDP-8D55;
HZK03-CB5C	&HZK03-CB5C;	⿰弓合
HZK03-CB5D	&I-HZK03-CB5D;	⿱旬弓
HZK03-CB5E	&I-HZK03-CB5E;	⿰弓多
HZK03-CB5F	&HZK03-CB5F;	⿳&GT-00376;&CDP-89BB;弓
HZK03-CB60	&I-HZK03-CB60;	⿰弓羊
HZK03-CB74	&HZK03-CB74;	⿳⿰弓弓一&GT-01888;
HZK03-CB75	&I-HZK03-CB75;	⿲弓弓弓
HZK03-CB76	&I-HZK03-CB76;	⿰弓丞
HZK03-CB77	&I-HZK03-CB77;	⿱&GT-36832;弓
HZK03-CB78	&I-HZK03-CB78;	弓厶&M-01418;
HZK03-CB79	&I-HZK03-CB79;	⿱扶弓
HZK03-CB7A	&I-HZK03-CB7A;	⿱折弓
HZK03-CB7D	&I-HZK03-CB7D;	⿰弓旱
HZK03-CB7E	&HZK03-CB7E;	⿰弓&M-29269;
HZK03-CBA1	&I-HZK03-CBA1;	𠃊弓囗&CDP-89D5;
HZK03-CBA2	&I-HZK03-CBA2;	⿰弓坐
HZK03-CBA3	&I-HZK03-CBA3;	⿰弓&GT-47107;
HZK03-A8D5	&HZK03-A8D5;	彳从耳
HZK03-A8D7	&HZK03-A8D7;	彳&CDP-8675;虫
HZK03-A8D8	&HZK03-A8D8;	⿱徇&GT-01891;
HZK03-A8D9	&HZK03-A8D9;	彳⺨山王
HZK03-A8DA	&HZK03-A8DA;	行&GT-47107;
HZK03-A8DB	&HZK03-A8DB;	行言
HZK03-A8DD	&HZK03-A8DD;	彳&GT-33181;&CDP-875C;
