;; -*- coding: utf-8-mcs-er -*-
CB00268	&I-CB00268;	⿰石⿱⿰王&MJ010776;木
CB00269	&I-CB00269;	⿰石歷
CB00270	&I-CB00270;	⿰示尃
CB00271	&I-CB00271;	⿰禾&g2-AJ1-04111;
CB00272	&I-CB00272;	⿰禾曷
CB00273	&I-CB00273;	⿰禾&MJ011890;
CB00274	&I-CB00274;	⿱穴⿱&GT-25225;缶
CB00275	&I-CB00275;	⿱穴⿱厶心
CB00276	&I-CB00276;	⿱穴井
CB00277	&I-CB00277;	⿰立&g2-AJ1-04009;
CB00278	&I-CB00278;	⿰立立
CB00279	&I-CB00279;	⿰立寺
CB00280	&I-CB00280;	⿰立宁
CB00281	&I-CB00281;	⿰立厘
CB00282	&I-CB00282;	&M-00310;
CB00283	&I-CB00283;	⿰&g2-AJ1-13439;力
CB00284	&I-CB00284;	⿱休心
CB00285	&I-CB00285;	⿱任几
CB00286	&I-CB00286;	⿱𠆢丨
CB00287	&I-CB00287;	⿰冫中
CB00288	&I-CB00288;	⿰冫兄
CB00289	&I-CB00289;	⿰冫&g2-AJ1-01688;
CB00290	&I-CB00290;	⿰冫&GT-59026;
CB00291	&I-CB00291;	⿱匈月
CB00292	&I-CB00292;	⿰合牛
CB00293	&I-CB00293;	⿱朱&AJ1-07449;
CB00294	&I-CB00294;	⿰米比
CB00295	&I-CB00295;	⿰米良
CB00296	&I-CB00296;	⿰米會
CB00297	&I-CB00297;	⿰糸亘
CB00298	&I-CB00298;	⿰糸戔
CB00299	&I-CB00299;	⿰羊⿹勹瓦
CB00300	&I-CB00300;	⿰羊鳥
CB00301	&I-CB00301;	⿰&AJ1-06205;芸
CB00302	&I-CB00302;	⿰耳止
CB00303	&I-CB00303;	⿰耳垂
CB00304	&I-CB00304;	⿱自大
CB00305	&I-CB00305;	⿱自死
CB00306	&I-CB00306;	⿰至鳥
CB00307	&I-CB00307;	⿰舟&AJ1-16871;
CB00308	&I-CB00308;	⿱⺈鹿
CB00309	&I-CB00309;	⿰虫也
CB00310	&I-CB00310;	⿰虫有
CB00311	&I-CB00311;	⿰虫昆
CB00312	&I-CB00312;	⿰虫罔
CB00313	&I-CB00313;	⿰虫&C2-285A;
CB00314	&I-CB00314;	⿰血刃
CB00315	&I-CB00315;	⿰皮刂
CB00316	&I-CB00316;	&I-CB00316;
CB00317	&I-CB00317;	⿰戔刂
CB00318	&I-CB00318;	⿰呆呆
CB00319	&I-CB00319;	⿱君巾
CB00320	&I-CB00320;	⿱君羊
CB00321	&I-CB00321;	⿱宀火
CB00322	&I-CB00322;	⿱宀悟
CB00323	&I-CB00323;	⿱宀索
CB00324	&CB00324;	⿱宀巢
CB00325	&I-CB00325;	&I-CB00325;
CB00326	&I-CB00326;	&I-CB00326;
CB00327	&I-CB00327;	⿺廴回
CB00328	&I-CB00328;	⿱我鳥
CB00329	&I-CB00329;	⿰句攵
CB00330	&I-CB00330;	⿰束力
CB00331	&I-CB00331;	⿰束束
CB00332	&I-CB00332;	⿰束頁
CB00333	&I-CB00333;	⿰犭&AJ1-02109;
CB00334	&I-CB00334;	⿰犭加
CB00335	&CB00335;	⿰犭&MJ010776;
CB00336	&I-CB00336;	⿰犭各
CB00337	&I-CB00337;	⿰犭者
CB00338	&I-CB00338;	⿰犭&MJ016740;
CB00339	&I-CB00339;	⿰犭&GT-40205;
CB00340	&CB00340;	⿰犭虛
CB00341	&I-CB00341;	⿰犭禽
CB00342	&I-CB00342;	⿰犭瞿
CB00343	&I-CB00343;	⿰甫頁
CB00344	&I-CB00344;	⿰言我
CB00345	&I-CB00345;	⿰言並
CB00346	&I-CB00346;	⿰言屈
CB00347	&I-CB00347;	⿰言哥
CB00348	&I-CB00348;	⿰言&AJ1-19722;
CB00349	&I-CB00349;	⿰言斯
CB00350	&I-CB00350;	&I-CB00350;
CB00351	&I-CB00351;	⿰言朝
CB00352	&I-CB00352;	⿰言賈
CB00353	&I-CB00353;	⿰言適
CB00354	&I-CB00354;	⿰言閻
CB00355	&I-CB00355;	⿰言&C1-786B;
