;; -*- coding: utf-8-mcs-er -*-
C3-2271	&I-C3-2271;	⿰⺅气
C3-2272	&C3-2272;	⿰⺅勻
C3-2273	&I-C3-2273;	⿰⺅卆
C3-2274	&C3-2274;	⿰⺅殳
C3-2275	&I-C3-2275;	⿱𠆢云
C3-2276	&C3-2276;	⿱𠆢&MJ056865;
C3-2277	&I-C3-2277;	⿱人从
C3-2278	&I-C3-2278;	⿱公儿
C3-2279	&I-C3-2279;	⿱入日
C3-227A	&I-C3-227A;	⿱王&C1-442C;
C3-227B	&I-C3-227B;	⿱一&MJ007307;
C3-227C	&I-C3-227C;	⿰冫牙
C3-227D	决	⿰冫夬
C3-227E	&I-C3-227E;	⿰冫中
C3-2321	&I-C3-2321;	⿰冫夭
C3-2322	&I-C3-2322;	⿵⺇云
C3-2323	&I-C3-2323;	⿱亠凶
C3-2324	&I-C3-2324;	⿰夬⺉
C3-2325	&C3-2325;	⿰&GT-K00816;⺉
C3-2326	&I-C3-2326;	⿱刀𠚪
C3-2327	&I-C3-2327;	⿰文⺉
C3-2328	&I-C3-2328;	⿰云力
C3-2329	&I-C3-2329;	⿱十廾
C3-232A	&I-C3-232A;	⿱十廿
C3-232B	&I-C3-232B;	⿰十办
C3-232C	&I-C3-232C;	⿱不十
C3-232D	&I-C3-232D;	卐
C3-232E	&I-C3-232E;	⿸厂𢆰
C3-232F	&I-C3-232F;	⿸厂圡
C3-2330	&C3-2330;	⿸厂今
C3-2331	&C3-2331;	⿹⺄去
C3-2332	㕜	⿱中又
C3-2333	&I-C3-2333;	⿱又双
C3-2334	&I-C3-2334;	⿰口丫
C3-2335	&I-C3-2335;	⿰口工
C3-2336	&I-C3-2336;	⿰口尸
C3-2337	&I-C3-2337;	⿰口千
C3-2338	&I-C3-2338;	⿱口大
C3-2339	&I-C3-2339;	⿰口口
C3-233A	&I-C3-233A;	⿰口下
C3-233B	&I-C3-233B;	⿱口口
C3-233C	&I-C3-233C;	⿰口么
C3-233D	&I-C3-233D;	⿴囗廾
C3-233E	&I-C3-233E;	⿴囗寸
C3-233F	&I-C3-233F;	⿰&GT-K00199;上
C3-2340	&I-C3-2340;	⿱大土
C3-2341	&I-C3-2341;	⿰千土
C3-2342	&I-C3-2342;	⿰&GT-K00199;千
C3-2343	&I-C3-2343;	⿰丬士
C3-2344	&I-C3-2344;	⿱夂㐄
C3-2345	&I-C3-2345;	⿱夭&CDP-89AB;
C3-2346	&I-C3-2346;	⿱大廾
C3-2347	&I-C3-2347;	⿰大大
C3-2348	&I-C3-2348;	⿱大大
C3-2349	&C3-2349;	⿰女卂
C3-234A	&C3-234A;	⿰女弋
C3-234B	&C3-234B;	⿰女久
C3-234C	&I-C3-234C;	⿱女女
C3-234D	&C3-234D;	⿰丬女
C3-234E	&I-C3-234E;	⿱巛子
C3-234F	&C3-234F;	⿱宀久
C3-2350	&I-C3-2350;	⿱宀弓
C3-2351	&I-C3-2351;	⿱⺌&G0-6566;
C3-2352	&I-C3-2352;	⿰小土
C3-2353	&I-C3-2353;	⿸尸子
C3-2354	&I-C3-2354;	⿱尺&CDP-8971;
C3-2355	&I-C3-2355;	⿰山工
C3-2356	&C3-2356;	⿰山子
C3-2357	&I-C3-2357;	⿱大山
C3-2358	&I-C3-2358;	⿱己山
C3-2359	&I-C3-2359;	⿰山巳
C3-235A	&I-C3-235A;	⿱山山
C3-235B	&C3-235B;	⿱亾𫶧
C3-235C	师	⿰&CDP-8968;帀
C3-235D	&I-C3-235D;	⿰巾凢
C3-235E	&C3-235E;	⿸广久
C3-235F	&C3-235F;	⿸广于
C3-2360	&I-C3-2360;	⿸广乇
C3-2361	&C3-2361;	⿺廴巛
C3-2362	&I-C3-2362;	⿹弋三
C3-2363	&I-C3-2363;	⿰弓勺
C3-2364	&I-C3-2364;	⿰弓亏
C3-2365	&I-C3-2365;	⿱乂心
C3-2366	&I-C3-2366;	⿰忄干
C3-2367	&C3-2367;	⿰忄也
C3-2368	&C3-2368;	⿰忄&C1-4443;
C3-2369	&C3-2369;	⿰忄凡
C3-236A	&C3-236A;	&C3-236A;
C3-236B	&I-C3-236B;	⿰&GT-K00064;戈
C3-236C	&I-C3-236C;	⿰扌亏
C3-236D	&I-C3-236D;	⿰扌卂
C3-236E	&I-C3-236E;	⿰扌丸
C3-236F	&I-C3-236F;	⿰扌土
C3-2370	&I-C3-2370;	齐
C3-2371	㫃	⿰方人
C3-2372	&I-C3-2372;	⿰日刀
C3-2373	&I-C3-2373;	⿰日十
C3-2374	&I-C3-2374;	㬰
C3-2375	&I-C3-2375;	⿰&GT-K00495;刀
C3-2376	&I-C3-2376;	⿰&GT-K00495;乃
C3-2377	&I-C3-2377;	⿰&GT-K00495;人
C3-2378	朶	⿱乃木
C3-2379	&I-C3-2379;	⿰&GT-K00064;欠
C3-237A	&I-C3-237A;	⿱𠂉&AJ1-05368;
C3-237B	&C3-237B;	⿺毛乃
C3-237C	&I-C3-237C;	⿰氵千
C3-237D	&C3-237D;	⿰氵乇
C3-237E	&I-C3-237E;	⿰氵夂
C3-2421	&I-C3-2421;	⿱水𠆢
C3-2422	&I-C3-2422;	⿰⺅水
C3-2423	&I-C3-2423;	⿰氵亐
C3-2424	&I-C3-2424;	⿰氵己
C3-2425	&I-C3-2425;	⿰氵子
C3-2426	&I-C3-2426;	⿰火丁
C3-2427	&C3-2427;	⿰火⺉
C3-2428	&I-C3-2428;	⿱火儿
C3-2429	&I-C3-2429;	⿸厂火
C3-242A	&C3-242A;	⿵⺇火
C3-242B	&C3-242B;	⿹勹火
C3-242C	&I-C3-242C;	⿰犭丸
C3-242D	&I-C3-242D;	⿰犭才
C3-242E	&I-C3-242E;	⿰𤣩厶
C3-242F	&I-C3-242F;	⿰𤣩力
C3-2430	&I-C3-2430;	⿰𤣩卜
C3-2431	&I-C3-2431;	⿰𤣩⺉
C3-2432	&C3-2432;	⿻石丶
C3-2433	&I-C3-2433;	⿰⺭乚
C3-2434	&C3-2434;	⿱亠&CDP-89C4;
C3-2435	&C3-2435;	⿰&CDP-8958;九
C3-2436	肎	⿱冖&CDP-8958;
C3-2437	&GT-39669;	⿱⺿丂
C3-2438	&GT-39683;	⿱艹力
C3-2439	&C3-2439;	⿱⺾&C1-442C;
C3-243A	&I-C3-243A;	⿱土&CDP-8961;
C3-243B	&C3-243B;	⿺⻎力
C3-243C	&I-C3-243C;	⿰山⻏
C3-243D	&C3-243D;	⿰女⻏
C3-243E	&I-C3-243E;	⿰阝子
C3-243F	&I-C3-243F;	两
C3-2440	&I-C3-2440;	⿰舌乚
C3-2441	&I-C3-2441;	⿰二兄
C3-2442	&I-C3-2442;	亜
C3-2443	&I-C3-2443;	⿰⺅未
C3-2444	&I-C3-2444;	⿰⺅皮
C3-2445	&I-C3-2445;	⿰⺅且
C3-2446	&I-C3-2446;	⿰⺅由
C3-2447	&I-C3-2447;	⿰⺅幼
C3-2448	伲	⿰⺅尼
C3-2449	&I-C3-2449;	⿰⺅正
C3-244A	&C3-244A;	⿰⺅丙
C3-244B	&I-C3-244B;	⿰⺅甘
C3-244C	&I-C3-244C;	⿰⺅召
C3-244D	&I-C3-244D;	⿰⺅母
C3-244E	&I-C3-244E;	⿰⺅&MJ000945;
C3-244F	&I-C3-244F;	⿰⺅四
C3-2450	&I-C3-2450;	⿰⺅尒
C3-2451	&I-C3-2451;	⿱丷兄
C3-2452	&I-C3-2452;	⿱刀&CDP-8BCB;
C3-2453	&I-C3-2453;	⿱旧儿
C3-2454	&I-C3-2454;	⿱丿⿷&CDP-89B9;丶
C3-2455	&C3-2455;	㒳
C3-2456	&I-C3-2456;	⿳𠔿一&C1-442C;
C3-2457	&I-C3-2457;	⿱冖且
C3-2458	&I-C3-2458;	⿰冫石
C3-2459	&I-C3-2459;	⿰冫兄
C3-245A	&C3-245A;	⿰冫半
C3-245B	&I-C3-245B;	⿵&GT-K00369;日
C3-245C	&I-C3-245C;	⿰台⺉
C3-245D	&I-C3-245D;	⿰去刀
C3-245E	&I-C3-245E;	⿰去⺉
C3-245F	&I-C3-245F;	⿰召⺉
C3-2460	&I-C3-2460;	⿰另⺉
C3-2461	删	⿰册⺉
C3-2462	&I-C3-2462;	⿱&GT-K01443;力
C3-2463	&I-C3-2463;	⿱&GT-K01418;力
C3-2464	&I-C3-2464;	⿰出力
C3-2465	&I-C3-2465;	⿷匚弁
