;; -*- coding: utf-8-mcs-er -*-
HZK09-A9CD	&I-HZK09-A9CD;	⿱⺿&B-B652;
HZK09-A9CE	&HZK09-A9CE;	⿱⺿&GT-31635;&M-03115;
HZK09-A9CF	&I-HZK09-A9CF;	⿱⺿囗㐅&CDP-8D46;
HZK09-A9D1	&I-HZK09-A9D1;	⿱⺿兟
HZK09-A9D2	&I-HZK09-A9D2;	⿱⺿禾秀
HZK09-A9D3	&I-HZK09-A9D3;	⿱⺿稌
HZK09-A9E9	&I-HZK09-A9E9;	⿳⺿𥝢牛
HZK09-A9EB	&I-HZK09-A9EB;	⿰千萬
HZK09-A9ED	&I-HZK09-A9ED;	⿱⺿傅
HZK09-A9EF	&I-HZK09-A9EF;	⿱⺿片𠫓木
HZK09-A9F0	&I-HZK09-A9F0;	⿱⺿絛
HZK09-A9F1	&HZK09-A9F1;	⿱⺿&B-B6B0;
HZK09-A9F2	&I-HZK09-A9F2;	⿱⺿&B-B96D;
HZK09-AA4A	&I-HZK09-AA4A;	⿳⺿自𠦂
HZK09-AA4B	&I-HZK09-AA4B;	⿱⺿亻&GT-11133;&M-03115;
HZK09-AA4C	&I-HZK09-AA4C;	⿱⺿&GT-29134;
HZK09-AA4D	&I-HZK09-AA4D;	⿱⺿徥
HZK09-AA51	&I-HZK09-AA51;	⿳⺿⿰舟舟
HZK09-AA52	&I-HZK09-AA52;	⿱⺿舟𠃜&M-03115;
HZK09-AA53	&I-HZK09-AA53;	⿱⺿舒
HZK09-AA54	&HZK09-AA54;	⿱⺿殽
HZK09-AA55	&HZK09-AA55;	⿱⺿&GT-18103;
HZK09-AA6A	&I-HZK09-AA6A;	⿳⺿从&B-AB41;
HZK09-AA6C	&I-HZK09-AA6C;	⿱⺿勝
HZK09-AA6D	&HZK09-AA6D;	⿱⺿月&GT-04385;
HZK09-AA6E	&HZK09-AA6E;	⿱⺿腱
HZK09-AA6F	&I-HZK09-AA6F;	⿱⺿象
HZK09-AA70	&I-HZK09-AA70;	⿱⺿&M-16111;
HZK09-AA72	&I-HZK09-AA72;	⿱⺿&GT-47173;
HZK09-AA73	&I-HZK09-AA73;	⿱⺿猭
HZK09-AA74	&I-HZK09-AA74;	⿱茤臼
HZK09-AA75	&HZK09-AA75;	⿱⺿然
HZK09-AA76	&I-HZK09-AA76;	⿱苑&B-A8A9;
HZK09-AA77	&I-HZK09-AA77;	⿱⺿訶
HZK09-AA78	&HZK09-AA78;	⿱⺿&GT-16781;
HZK09-AAAC	&I-HZK09-AAAC;	⿱⺿庾
HZK09-AAAE	&I-HZK09-AAAE;	⿱⺿&M-11615;
HZK09-AAAF	&I-HZK09-AAAF;	⿱⺿&CDP-8AD5;
HZK09-AAB0	&I-HZK09-AAB0;	⿱⺿&GT-04385;毛
HZK09-AAB1	&I-HZK09-AAB1;	⿱⺿粦
