;; -*- coding: utf-8-mcs-er -*-
U+30184	𰆄	⿱⿰⿱⺊日丨厂
U+30185	𰆅	⿴占𠮛
U+30186	𰆆	⿱⺊⿵𠘨⿱一巿
U+30187	𰆇	⿳⺊𠕀⿱⺊𠕀
U+30188	𰆈	⿱⺊⿵𠘨⿱公天
U+30189	𰆉	⿰⿱⺊𠕁⿱又耳
U+3018A	𰆊	⿹𠃌丨
U+3018B	𰆋	⿰卩卩
U+3018C	𰆌	⿱日𰆊
U+3018D	𰆍	⿰午卩
U+3018E	𰆎	⿰月卪
U+3018F	𰆏	⿱自𰆊
U+30190	𰆐	⿱里𰆊
U+30191	𰆑	⿱者𰆊
U+30192	𰆒	⿱秋𰆊
U+30193	𰆓	⿰𣷚卪
U+30194	𰆔	⿰韋卵
U+30195	𰆕	⿸厂义
U+30196	𰆖	⿸厂元
U+30197	𰆗	⿸厂文
U+30198	𰆘	⿸厂生
U+30199	𰆙	⿸厂来
U+3019A	𰆚	⿸厂佥
U+3019B	𰆛	⿰压屯
U+3019C	𰆜	⿸厂叔
U+3019D	𰆝	⿸厂昘
U+3019E	𰆞	⿸厂⿱臼九
U+3019F	𰆟	⿸厂𦙊
U+301A0	𰆠	⿰压艮
U+301A1	𰆡	⿸厂㰪
U+301A2	𰆢	⿸厂⿰圭殳
U+301A3	𰆣	⿸厂⿰圭𠬝
U+301A4	𰆤	⿸厂殷
U+301A5	𰆥	⿸厂⿱立电
U+301A6	𰆦	⿸厂⿰⿱𢆶十刀
U+301A7	𰆧	⿰𠩓句
U+301A8	𰆨	⿸厂⿱共⿻王丷
U+301A9	𰆩	⿸厂⿰長
U+301AA	𰆪	⿸厂𤡜
U+301AB	𰆫	⿰压盖
U+301AC	𰆬	⿰原原
U+301AD	𰆭	⿱厶凡
U+301AE	𰆮	⿳厶大元
U+301AF	𰆯	⿰去里
U+301B0	𰆰	⿱个又
U+301B1	𰆱	⿰不又
U+301B2	𰆲	⿰㞢又
U+301B3	𰆳	⿰又化
U+301B4	𰆴	⿱卞又
U+301B5	𰆵	⿺及十
U+301B6	𰆶	⿰又𠁣
U+301B7	𰆷	⿱又𡯇
U+301B8	𰆸	⿱目又
U+301B9	𰆹	⿰由又
U+301BA	𰆺	⿱乍又
U+301BB	𰆻	⿰又圭
U+301BC	𰆼	⿰𠬝𠬝
U+301BD	𰆽	⿱双勾
U+301BE	𰆾	⿺及立
U+301BF	𰆿	⿱从㞋
U+301C0	𰇀	⿹𣦻贝
U+301C1	𰇁	⿰叉参
U+301C2	𰇂	⿳爫耳又
U+301C3	𰇃	⿱叒兆
U+301C4	𰇄	⿰复反
U+301C5	𰇅	⿱双⿰布布
U+301C6	𰇆	⿰叠𠬶
U+301C7	𰇇	⿰口二
U+301C8	𰇈	⿳丷口𠃍
U+301C9	𰇉	⿱弓口
U+301CA	𰇊	⿰口专
U+301CB	𰇋	⿱丹口
U+301CC	𰇌	⿱升口
U+301CD	𰇍	⿱双口
U+301CE	𰇎	⿰口东
U+301CF	𰇏	⿰口目
U+301D0	𰇐	⿰口田
U+301D1	𰇑	⿱册口
U+301D2	𰇒	⿰口仡
U+301D3	𰇓	⿰口市
U+301D4	𰇔	⿱夫⿰口匕
U+301D5	𰇕	⿰口夹
U+301D6	𰇖	⿰口动
U+301D7	𰇗	⿰口扣
U+301D8	𰇘	⿰口则
U+301D9	𰇙	⿱丹⿰口匕
U+301DA	𰇚	⿰吹卜
U+301DB	𰇛	⿰口伏
U+301DC	𰇜	⿰口気
U+301DD	𰇝	⿱之叹
