;; -*- coding: utf-8-mcs-er -*-
U+2BA6F	𫩯	⿰口岂
U+2BA70	𫩰	⿰口⿱𠂉斗
U+2BA71	𫩱	⿰口先
U+2BA72	𫩲	⿱口后
U+2BA73	𫩳	⿰口伪
U+2BA74	𫩴	⿰口朶
U+2BA75	𫩵	⿱口礼
U+2BA76	𫩶	⿱礼口
U+2BA77	𫩷	⿰口㐫
U+2BA78	𫩸	⿰口边
U+2BA79	𫩹	⿰口糸
U+2BA7A	𫩺	⿰口尽
U+2BA7B	𫩻	⿱劦口
U+2BA7C	𫩼	⿱孖口
U+2BA7D	𫩽	⿰口抗
U+2BA7E	𫩾	⿰口扳
U+2BA7F	𫩿	⿰口⿱打入
U+2BA80	𫪀	⿰口过
U+2BA81	𫪁	⿰口来
U+2BA82	𫪂	⿰口严
U+2BA83	𫪃	⿰口丽
U+2BA84	𫪄	⿰口坚
U+2BA85	𫪅	⿰口时
U+2BA86	𫪆	⿰口甹
U+2BA87	𫪇	⿰口㞷
U+2BA88	𫪈	⿰口系
U+2BA89	𫪉	⿰只只
U+2BA8A	𫪊	⿱史史
U+2BA8B	𫪋	⿱我口
U+2BA8C	𫪌	⿰口沉
U+2BA8D	𫪍	⿰口沁
U+2BA8E	𫪎	⿰口快
U+2BA8F	𫪏	⿰口沕
U+2BA90	𫪐	⿰口局
U+2BA91	𫪑	⿰口⿰子贝
U+2BA92	𫪒	⿰口板
U+2BA93	𫪓	⿰口靣
U+2BA94	𫪔	⿰古死
U+2BA95	𫪕	⿰号先
U+2BA96	𫪖	⿰口𡘆
U+2BA97	𫪗	⿰口武
U+2BA98	𫪘	⿰口欧
U+2BA99	𫪙	⿱⿰丰丰口
U+2BA9A	𫪚	⿰口斩
U+2BA9B	𫪛	⿰口長
U+2BA9C	𫪜	⿰口芩
U+2BA9D	𫪝	⿰口芬
U+2BA9E	𫪞	⿰口⿱甲口
U+2BA9F	𫪟	⿳吅㐅口
U+2BAA0	𫪠	⿳吅冖尸
U+2BAA1	𫪡	⿱吅𠕁
U+2BAA2	𫪢	⿰口侒
U+2BAA3	𫪣	⿰后仕
U+2BAA4	𫪤	⿰口券
U+2BAA5	𫪥	⿰口侈
U+2BAA6	𫪦	⿰口知
U+2BAA7	𫪧	⿰口枭
U+2BAA8	𫪨	⿰兄光
U+2BAA9	𫪩	⿱只有
U+2BAAA	𫪪	⿰口质
U+2BAAB	𫪫	⿰只有
U+2BAAC	𫪬	⿰口泠
U+2BAAD	𫪭	⿰口底
U+2BAAE	𫪮	⿱㐭口
U+2BAAF	𫪯	⿰口𬎾
U+2BAB0	𫪰	⿰口姆
U+2BAB1	𫪱	⿰口耍
U+2BAB2	𫪲	⿰口柄
U+2BAB3	𫪳	⿰口&CDP-8CA9;
U+2BAB4	𫪴	⿰口泵
U+2BAB5	𫪵	⿰口拱
U+2BAB6	𫪶	⿰口挖
U+2BAB7	𫪷	⿰口𢬊
U+2BAB8	𫪸	⿰吾四
U+2BAB9	𫪹	⿰弄古
U+2BABA	𫪺	⿰口带
U+2BABB	𫪻	⿰口⿱山虫
U+2BABC	𫪼	⿰口迫
U+2BABD	𫪽	⿰口钦
