;; -*- coding: utf-8-mcs-er -*-
HZK12-A7D4	&I-HZK12-A7D4;	⿰弗韋
HZK12-A7D5	&I-HZK12-A7D5;	韋屮又
HZK12-A7D6	&I-HZK12-A7D6;	⿰韋召
HZK12-A7D7	&I-HZK12-A7D7;	⿰韋亘
HZK12-A7D8	&I-HZK12-A7D8;	光韋
HZK12-A7D9	&I-HZK12-A7D9;	⿰韋曳
HZK12-A7DA	&I-HZK12-A7DA;	⿰韋因
HZK12-A7DB	&I-HZK12-A7DB;	⿰韋伏
HZK12-A7EC	&I-HZK12-A7EC;	⿰韋&AJ1-19443;
HZK12-A7ED	&I-HZK12-A7ED;	⿰韋各
HZK12-A7EE	&I-HZK12-A7EE;	⿰韋亦
HZK12-A7EF	&I-HZK12-A7EF;	⿰韋&MJ006467;
HZK12-A7F0	&I-HZK12-A7F0;	⿳六韋又
HZK12-A7F1	&I-HZK12-A7F1;	⿰韋艮
HZK12-A7F2	&I-HZK12-A7F2;	⿳士㓁韋
HZK12-A7F3	&I-HZK12-A7F3;	⿰韋甫
HZK12-A7F4	&I-HZK12-A7F4;	⿰韋束
HZK12-A7F5	&I-HZK12-A7F5;	⿰韋夾
HZK12-A7F6	&I-HZK12-A7F6;	歹㐄韋
HZK12-A7F7	&I-HZK12-A7F7;	⿰韋&CDP-85E7;
HZK12-A7F8	&I-HZK12-A7F8;	⿰韋肖
HZK12-A7F9	&I-HZK12-A7F9;	⿰佛韋
HZK12-A7FA	&I-HZK12-A7FA;	⿰韋役
HZK12-A7FB	&I-HZK12-A7FB;	⿰韋兌
HZK12-A7FC	&I-HZK12-A7FC;	⿰&GT-57812;夂灬
HZK12-A7FD	&I-HZK12-A7FD;	⿰韋&B-AAFB;
HZK12-A7FE	&I-HZK12-A7FE;	⿰&GT-57812;云木
HZK12-A84D	&I-HZK12-A84D;	⿰𠦝韦
HZK12-A84E	&I-HZK12-A84E;	⿰韋或
HZK12-A84F	&I-HZK12-A84F;	⿰韋&AJ1-04109;
HZK12-A850	&I-HZK12-A850;	⿰韋非
HZK12-A851	&I-HZK12-A851;	⿰韋沓
HZK12-A852	&I-HZK12-A852;	⿰韋卑
HZK12-A853	&I-HZK12-A853;	⿰韋彼
HZK12-A854	&I-HZK12-A854;	⿰韋&MJ007897;
HZK12-A855	&I-HZK12-A855;	⿰&GT-57812;夂田
HZK12-A856	&I-HZK12-A856;	⿰韋匊
HZK12-A858	&I-HZK12-A858;	⿳亠圍夂
HZK12-A859	&I-HZK12-A859;	⿰韋&AJ1-07792;
HZK12-A85A	&I-HZK12-A85A;	⿰韋&AJ1-01148;
HZK12-A85B	&I-HZK12-A85B;	⿰韋&B-ADB2;
HZK12-A85D	&I-HZK12-A85D;	⿰韋是
HZK12-A86D	&I-HZK12-A86D;	⿺是韦
HZK12-A86F	&I-HZK12-A86F;	⿰韦日皿
HZK12-A870	&I-HZK12-A870;	⿰韋曷
HZK12-A871	&I-HZK12-A871;	⿰韋复
HZK12-A872	&I-HZK12-A872;	⿰韋段
HZK12-A873	&I-HZK12-A873;	⿰韋盾
HZK12-A874	&I-HZK12-A874;	⿰韋&MJ016740;
HZK12-A875	&I-HZK12-A875;	⿰⿳&CDP-8DEC;口巾⿱&GT-25225;旧
HZK12-A876	&I-HZK12-A876;	⿰韋&AJ1-16792;
HZK12-A877	&I-HZK12-A877;	⿰&GT-57812;⿱⿱亠厶冉
HZK12-A878	&I-HZK12-A878;	⿰韋宣
HZK12-A87A	&I-HZK12-A87A;	⿰韋叚
HZK12-A8B0	&I-HZK12-A8B0;	⿰韋&C6-395D;
HZK12-A8B1	&I-HZK12-A8B1;	⿰韋荅
HZK12-A8B2	&I-HZK12-A8B2;	⿸⿰𠦝𠂉韋
HZK12-A8B3	&I-HZK12-A8B3;	⿰韋尃
HZK12-A8B4	&I-HZK12-A8B4;	⿰&GT-57812;大束
HZK12-A8B5	&I-HZK12-A8B5;	⿰韋&CDP-8947;
HZK12-A8B6	&I-HZK12-A8B6;	⿰韋畢
HZK12-A8B7	&I-HZK12-A8B7;	⿰韋&CDP-8ACB;
HZK12-A8B8	&I-HZK12-A8B8;	⿰韋&B-B0AD;
HZK12-CA5A	&I-HZK12-CA5A;	⿰&HD-JA-6645;&B-B3BE;
HZK12-CA5D	&I-HZK12-CA5D;	⿰&G0-4B34;&B-B3BE;
HZK12-CA5E	&I-HZK12-CA5E;	⿰象&B-B3BE;
HZK12-CA5F	&I-HZK12-CA5F;	⿹勹&CDP-8DF9;人⿰丨丨&B-B3BE;
HZK12-CA6B	&I-HZK12-CA6B;	⿰然&B-B3BE;
HZK12-CA6C	&I-HZK12-CA6C;	⿰⿱&GT-K04876;火&B-B3BE;
HZK12-CA6D	&I-HZK12-CA6D;	⿰&B-B6BE;&B-B3BE;
HZK12-CA6E	&I-HZK12-CA6E;	⿰就&B-B3BE;
HZK12-CA70	&I-HZK12-CA70;	⿱就&CDP-8A52;
HZK12-CA72	&I-HZK12-CA72;	⿰敦&B-B3BE;
HZK12-CA73	&I-HZK12-CA73;	⿱敦&B-B3BE;
HZK12-CA74	&I-HZK12-CA74;	⿰童&B-B3BE;
HZK12-CA75	&I-HZK12-CA75;	⿰粦&B-B3BE;
HZK12-CA76	&I-HZK12-CA76;	⿲涑力&B-B3BE;
HZK12-CA77	&I-HZK12-CA77;	⿰富&B-B3BE;
HZK12-CA78	&I-HZK12-CA78;	⿰寓&B-B3BE;
HZK12-CA7A	&I-HZK12-CA7A;	⿰&B-B6A1;&B-B3BE;
HZK12-CA7C	&I-HZK12-CA7C;	&CDP-88E4;口&B-B3BE;
HZK12-CAAE	&I-HZK12-CAAE;	尸禹&B-B3BE;
HZK12-CAAF	&I-HZK12-CAAF;	⿱粥&B-B3BE;
